timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2022-11-30T09:45:19,emissions_app_reboot0,cdef8fba-7e11-48cd-8f2c-6831ea466534,0.000741958618164,1.613084177176157e-09,0.002174089144173,42.5,0.0,3.0,7.354716459910075e-09,0,3.6338965098063127e-10,7.718106110890707e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:20,emissions_app_reboot0,d5cf21e0-9a63-476b-8f2e-c2859377aa9e,0.0007200241088867,1.5644935104582047e-09,0.002172834896983,42.5,0.0,3.0,7.1323580212063265e-09,0,3.5325686136881507e-10,7.485614882575142e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:25,emissions_app_reboot0,d45e031c-8c6a-4596-a4ef-2b2641632864,0.0023090839385986,4.909941189818911e-09,0.0021263589026558,42.5,0.0,3.0,2.252575423982408e-08,0,9.66787338256835e-10,2.349254157808092e-08,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:27,emissions_app_reboot0,43943cee-8e6b-4ac6-801a-2b16b929b114,0.0024209022521972,4.780931274096171e-09,0.0019748551473967,42.5,0.0,3.0,2.188682556152344e-08,0,9.884436925252278e-10,2.2875269254048667e-08,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:29,emissions_app_reboot0,3d9651e3-2547-4d70-8ed1-b33da8344a95,0.0009331703186035,1.730356481340196e-09,0.0018542772384034,42.5,0.0,3.0,7.931722535027399e-09,0,3.4749507904052725e-10,8.279217614067926e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:30,emissions_app_reboot0,3c72479b-344a-424c-83b7-f4940db90c47,0.0007150173187255,1.5346927113003201e-09,0.0021463713830536,42.5,0.0,3.0,7.002883487277561e-09,0,3.4014383951822915e-10,7.343027326795791e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:32,emissions_app_reboot0,85c58b02-24ac-4d98-99f3-8f8b6561d9b2,0.0008111000061035,1.624662611219618e-09,0.0020030361225422,42.5,0.0,3.0,7.402565744188096e-09,0,3.70939572652181e-10,7.773505316840277e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:33,emissions_app_reboot0,68b71d8b-9d0d-4014-890e-b0fbe5601cdc,0.0008621215820312,1.7601918843057423e-09,0.00204169797044,42.5,0.0,3.0,8.075270387861465e-09,0,3.4670035044352216e-10,8.421970738304987e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:35,emissions_app_reboot0,9b8e9d18-f967-468d-b681-deeced91a15d,0.0008347034454345,1.807052360640632e-09,0.0021649034402869,42.5,0.0,3.0,8.286370171440973e-09,0,3.598133722941081e-10,8.646183543735081e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:36,emissions_app_reboot0,264fc9c8-8cc7-4365-b330-0ed0a8362138,0.0008151531219482,1.507203446494208e-09,0.0018489819960352,42.5,0.0,3.0,6.884667608473036e-09,0,3.2683213551839176e-10,7.211499743991428e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
